NID,Name,Birth_date,Centre,Date_published,Size,Breed,Sex,Child_Suitability,Cat_suitability,Dog_suitability,Reserved,Date_reserved,Rehomed,Date_rehomed,Ideal_location
495956,BELLA,2017-03-29,brands hatch,2018-09-28,small,mongrel,Female,D - Adults only,B - Not To Live With,B - Prefer To Live Alone,,,,,I prefer to live away from the inner city
495686,BUFFY,2013-09-21,old windsor,2019-09-20,,terrier: cairn,Female,D - Adults only,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-14,,,I prefer to live away from the inner city
495456,OBI,2012-01-01,battersea,2019-04-22,large,mongrel,Male,C - Can live with 13-16,A - Possibly Live With,A - Can Live With,,,,,I can live in just about any location
495836,BRONSON,2018-11-25,brands hatch,2019-09-25,large,mastiff: bull,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,,,I prefer to live away from the inner city
495691,FINCH,2015-09-21,old windsor,2019-09-20,small,terrier: yorkshire,Female,D - Adults only,A - Possibly Live With,A - Can Live With,Reserved,2019-10-14,,,I prefer to live away from the inner city
495976,ROO,2019-01-01,old windsor,2019-09-17,small,jack russell terrier,Female,C - Can live with 13-16,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495971,BENJI (AND BRONSON),2013-09-29,battersea,2019-09-04,,french bulldog,Male,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
807641,BRIAN,2017-04-01,old windsor,2019-10-01,large,lurcher,Male,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,Reserved,2019-10-14,,,I prefer to live away from the inner city
495441,BEAU,2016-11-14,battersea,2019-09-10,large,german shepherd,Female,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,,,I prefer to live away from the inner city
870011,PICKLES (AND WOOFY),2018-08-21,battersea,2019-10-04,medium,spaniel: cocker,Female,C - Can live with 13-16,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-14,,,I can live in just about any location
870016,WOOFY (AND PICKLES),2018-10-17,battersea,2019-10-04,medium,poodle: miniature,Male,C - Can live with 13-16,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-14,,,I can live in just about any location
495811,CINNAMON,2014-05-15,battersea,2019-08-16,medium,mongrel,Female,C - Can live with 13-16,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495491,EVEREST,2016-06-19,battersea,2019-06-27,large,greyhound,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,,,I prefer to live away from the inner city
590241,TOPSY,2007-09-07,old windsor,2019-08-12,,jack russell terrier,Female,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,,,I can live in just about any location
